geo_value,time_value,weekly_hosp,weekly_admits_p100K
us,2020-01-07,660,0.20107267825879702
us,2020-01-08,528,0.1608581426070376
us,2020-01-09,396,0.1206436069552782
us,2020-01-10,264,0.0804290713035188
us,2020-01-11,132,0.0402145356517594
us,2020-01-12,0,0
us,2020-01-13,0,0
us,2020-01-14,0,0
us,2020-01-15,0,0
us,2020-01-16,0,0
us,2020-01-17,0,0
us,2020-01-18,0,0
us,2020-01-19,0,0
us,2020-01-20,0,0
us,2020-01-21,0,0
us,2020-01-22,0,0
us,2020-01-23,0,0
us,2020-01-24,0,0
us,2020-01-25,0,0
us,2020-01-26,0,0
us,2020-01-27,0,0
us,2020-01-28,0,0
us,2020-01-29,0,0
us,2020-01-30,0,0
us,2020-01-31,0,0
us,2020-02-01,0,0
us,2020-02-02,0,0
us,2020-02-03,0,0
us,2020-02-04,0,0
us,2020-02-05,0,0
us,2020-02-06,0,0
us,2020-02-07,0,0
us,2020-02-08,0,0
us,2020-02-09,0,0
us,2020-02-10,0,0
us,2020-02-11,0,0
us,2020-02-12,0,0
us,2020-02-13,0,0
us,2020-02-14,0,0
us,2020-02-15,0,0
us,2020-02-16,0,0
us,2020-02-17,0,0
us,2020-02-18,0,0
us,2020-02-19,0,0
us,2020-02-20,0,0
us,2020-02-21,0,0
us,2020-02-22,0,0
us,2020-02-23,0,0
us,2020-02-24,0,0
us,2020-02-25,0,0
us,2020-02-26,0,0
us,2020-02-27,0,0
us,2020-02-28,0,0
us,2020-02-29,0,0
us,2020-03-01,0,0
us,2020-03-02,0,0
us,2020-03-03,0,0
us,2020-03-04,0,0
us,2020-03-05,0,0
us,2020-03-06,0,0
us,2020-03-07,0,0
us,2020-03-08,0,0
us,2020-03-09,0,0
us,2020-03-10,0,0
us,2020-03-11,0,0
us,2020-03-12,0,0
us,2020-03-13,0,0
us,2020-03-14,0,0
us,2020-03-15,0,0
us,2020-03-16,0,0
us,2020-03-17,0,0
us,2020-03-18,0,0
us,2020-03-19,0,0
us,2020-03-20,0,0
us,2020-03-21,0,0
us,2020-03-22,0,0
us,2020-03-23,0,0
us,2020-03-24,0,0
us,2020-03-25,0,0
us,2020-03-26,0,0
us,2020-03-27,0,0
us,2020-03-28,0,0
us,2020-03-29,0,0
us,2020-03-30,0,0
ri,2020-03-31,0,0
